sample,Shannon,Simpson,Richness,Chao1,Ace,Sobs,Pielou,Goods_coverage
2F30,6.440851921,0.997672945,1493,1656.27907,1631.499843,1493,0.610854786,0.999996641
2F31,6.550723205,0.997883274,1544,1664.12,1616.422572,1544,0.618432832,0.999997971
2F32,6.393158246,0.997575128,1504,1516.5,1540.211046,1504,0.605723097,0.999994796
2F33,6.436749451,0.997641167,1532,1540.233333,1556.905925,1532,0.608319387,0.999998844
2F34,6.433520005,0.997639047,1550,1723.25,1647.273867,1550,0.60704738,0.999995329
2F35,6.453297491,0.997686682,1499,1629.784314,1629.17795,1499,0.611699451,0.999994538
2M13,6.436560326,0.997716661,1552,1887.34375,1780.725819,1552,0.607227665,0.999997089
2M14,6.442666242,0.997646358,1376,1396.3,1392.251619,1376,0.617926591,0.999996876
2M15,6.427198397,0.997623611,1584,1612.21875,1608.880692,1584,0.604664857,0.999996903
2M16,6.414736133,0.997587333,1412,1439.045455,1435.268591,1412,0.61305693,0.999996423
2M17,6.441697114,0.997679786,1547,2393.083333,1766.157374,1547,0.607979289,0.999998067
2M18,6.406310335,0.997637759,1435,1853.6,1512.339105,1435,0.610890733,0.999993476
2M19,6.416152997,0.997613749,1401,1434.3,1433.862151,1401,0.613854278,0.99999541
2M20,6.421269699,0.997632514,1449,1577.619048,1531.433104,1449,0.611500466,0.999996256
2M21,6.435809657,0.9976751,1418,1429.9,1438.632718,1418,0.614711541,0.999996723
2M22,6.44751958,0.997651037,1344,1370.25,1352.505907,1344,0.62041211,0.999998549
2M23,6.462797426,0.997718489,1394,1430.909091,1411.971252,1394,0.618744686,0.99999662
2M24,6.438754075,0.997660986,1467,1587.652174,1546.344264,1467,0.612127235,0.999995929
2M25,6.388651632,0.99755627,1439,1508.333333,1482.322778,1439,0.608973639,0.999999039
2M26,6.456439104,0.997687365,1385,1422.05,1419.306212,1385,0.618689451,0.999995888
2M27,6.422310793,0.997609434,1433,1464.909091,1446.092486,1433,0.612534027,0.999996165
2M28,6.414714554,0.997607176,1398,1419.9375,1410.340758,1398,0.613898297,0.999997246
2M29,6.398292413,0.997544899,1424,1446.956522,1442.695541,1424,0.61077274,0.999995471
2M30,6.476577265,0.997777627,1432,1432.714286,1433.206371,1432,0.617769084,0.999999616
2M31,6.502344935,0.99778227,1442,1512,1456.841047,1442,0.619633553,0.999995302
2M32,6.396038312,0.997530985,1538,1570.016393,1591.802452,1538,0.604149911,0.999998357
2M33,6.455929318,0.997705431,1505,1696.153846,1558.271001,1505,0.611614807,0.999997194
2M34,6.459663937,0.997710915,1439,1573,1527.194478,1439,0.615742614,0.999998174
2M35,6.452695043,0.997684462,1503,1520.225,1540.700581,1503,0.611419528,0.999995555
3F1,6.438273663,0.997676703,1504,1612.022727,1610.367976,1504,0.60999758,0.999999715
3F10,6.419655442,0.997650627,1441,1442.451613,1443.669506,1441,0.611812102,0.999999049
3F11,6.424414981,0.997659004,1600,1870.047619,1692.848969,1600,0.603579649,0.999999196
3F12,6.424432149,0.997689014,1526,1528.394737,1530.332983,1526,0.607480337,0.999999199
3F13,6.409122483,0.997607426,1521,1592.651163,1588.681636,1521,0.606304139,0.999997565
3F14,6.417567175,0.997612903,1556,1570.341463,1586.141478,1556,0.605223814,0.999997125
3F15,6.465110866,0.997698356,1633,1710.294118,1682.325754,1633,0.605726942,0.999994775
3F16,6.427070289,0.997637378,1590,2112.142857,1678.526175,1590,0.604342687,0.999999267
3F18,6.462641761,0.997683652,1579,1654.477273,1728.981029,1579,0.608260346,0.999997239
3F19,6.307681747,0.997362836,1562,1719.813953,1730.114876,1562,0.594549484,0.999999681
3F2,6.50415066,0.99778337,1576,1758.807692,1724.056559,1576,0.612325262,0.999995873
3F20,6.478923712,0.997684212,1483,1534.230769,1518.951012,1483,0.615031083,0.999996561
3F21,6.471917952,0.997700178,1671,1712,1741.51339,1671,0.604485159,0.999988376
3F22,6.469255318,0.997764936,1525,2093.333333,1841.078726,1525,0.611773427,0.999995935
3F3,6.48004707,0.997740336,1471,1476.029412,1478.587148,1471,0.615822938,0.999998151
3F4,6.468120034,0.997717618,1548,1587.2,1583.847601,1548,0.610419423,0.999999285
3F5,6.440212771,0.997628415,1630,3100.6,1904.36103,1630,0.603544208,0.999998749
3F6,6.512984169,0.997851192,1540,1566.232558,1572.962862,1540,0.615087326,0.999995716
3F7,6.406227278,0.99762936,1563,1803.47619,1662.343613,1563,0.603785641,0.999998063
3F8,6.349507338,0.997527498,1507,1687.5625,1650.197208,1507,0.601423554,0.999998389
3F9,6.440281324,0.997695439,1573,1589.734694,1602.36422,1573,0.606469309,0.999999115
3M1,6.488895345,0.997773272,1511,1522.470588,1536.236401,1511,0.61440379,0.99999728
3M10,6.533392965,0.997853133,1597,1612.842105,1628.19248,1597,0.613974413,0.999999319
3M11,6.491332819,0.997772448,1569,1570.153846,1577.684891,1569,0.611488253,0.999999663
3M13,6.442620186,0.997670043,1525,1535.129412,1546.77701,1525,0.609254641,0.999999478
3M14,6.679681676,0.998094085,1582,1625.4,1661.002754,1582,0.62852603,0.999999243
3M15,6.518365587,0.997830946,1592,1605.777778,1602.413489,1592,0.612822753,0.999998404
3M16,6.479422548,0.997751567,1569,1606.195652,1627.886903,1569,0.610366297,0.999998965
3M17,6.438803178,0.997673846,1609,1712.3125,1683.190584,1609,0.604471859,0.999996637
3M18,6.505629921,0.99779047,1614,1775.7,1768.419285,1614,0.610488978,0.999999001
3M19,6.474409694,0.997789859,1506,1870,1616.151841,1506,0.613309902,0.999994605
3M2,6.491457732,0.997749121,1554,1767.272727,1645.872087,1554,0.612299385,0.99999946
3M20,6.458186499,0.997683655,1596,1642.921875,1653.431398,1596,0.606958443,0.999994284
3M21,6.453710578,0.99772098,1534,1544.084746,1550.732924,1534,0.609813862,0.999996455
3M22,6.464862838,0.997737581,1567,1600.888889,1606.016611,1567,0.609100346,0.999993652
3M23,6.431788451,0.997619271,1605,2128.375,1824.072654,1605,0.604016948,0.999998628
3M24,6.71285808,0.998174234,1586,1696.5,1621.078945,1586,0.631431312,0.999998946
3M25,6.462455105,0.997704543,1568,1619,1617.124004,1568,0.608820703,0.999998047
3M26,6.47173311,0.997755929,1548,2084.75,1676.038278,1548,0.610760401,0.999996568
3M27,6.435595648,0.997636527,1585,1743.163265,1781.592279,1585,0.605403004,0.999995785
3M4,6.439821116,0.997644491,1564,1762.681818,1641.482547,1564,0.606899073,0.999994977
3M5,6.42943665,0.997622594,1574,1785.636364,1674.495427,1574,0.605395816,0.999990181
3M6,6.468199399,0.997776114,1514,1650.5,1616.809979,1514,0.612278291,0.999996877
3M7,6.4534184,0.99768486,1496,1529,1507.946186,1496,0.611878542,0.999998508
3M8,6.415986872,0.997610176,1398,1659.8,1659.501866,1398,0.614020059,0.999992807
3M9,6.733069539,0.998291515,1576,1694.071429,1640.629968,1576,0.633876548,0.999991893
4F1,6.3850972,0.99755643,1381,1395.4375,1390.514579,1381,0.612097845,0.999997777
4F10,6.471302531,0.997737203,1503,2138.076923,1829.156417,1503,0.613182664,0.999999126
4F11,6.378670326,0.997446068,1491,1611.652174,1548.48711,1491,0.605068419,0.999995462
4F12,6.420308436,0.997603174,1441,1611.4,1521.812134,1441,0.611874334,0.999998742
4F13,6.435256427,0.997670652,1564,2029.625,1907.083564,1564,0.60646889,0.999996437
4F14,6.393550049,0.997578533,1469,1551.125,1542.448726,1469,0.607716166,0.999997711
4F15,6.425988185,0.997642927,1419,1518,1468.204922,1419,0.613713832,0.999995356
4F16,6.47528553,0.997757748,1464,1695.25,1555.102581,1464,0.615773142,0.999999067
4F17,6.409375257,0.997631903,1471,1542.5,1520.778531,1471,0.609106733,0.999999215
4F18,6.413264174,0.997594207,1431,1441.5,1442.412304,1431,0.611788769,0.999997495
4F19,6.432638398,0.997641208,1406,1407.076923,1408.516257,1406,0.615129015,0.999998934
4F2,6.401359085,0.997557956,1451,1476.625,1473.186473,1451,0.60948887,0.999996403
4F20,6.419491515,0.997644976,1408,1459.666667,1421.390344,1408,0.613751468,0.999997127
4F21,6.451062747,0.997726627,1474,1754.090909,1582.946456,1474,0.612897249,0.99999548
4F22,6.416782783,0.997609693,1428,1491,1444.640384,1428,0.612301272,0.999998503
4F23,6.450604248,0.997723629,1553,1758,1567.013197,1553,0.608499228,0.99999858
4F3,6.409180405,0.997561691,1473,1618.090909,1514.549045,1473,0.608974773,0.999993237
4F4,6.444266098,0.997668913,1548,2035.772727,1843.903653,1548,0.608168242,0.999998808
4F5,6.460832121,0.997698663,1417,1424.5,1435.501487,1417,0.617161539,0.999998687
4F6,6.377960046,0.997520659,1392,1423.788462,1440.698343,1392,0.610743518,0.999994751
4F7,6.410575839,0.997583169,1394,1394.882353,1395.803288,1394,0.613745019,0.999999361
4F8,6.417348442,0.99762346,1481,1620.44,1569.804331,1481,0.609298479,0.999997018
4F9,6.46452614,0.997750742,1396,1443.571429,1413.481551,1396,0.618787656,0.999995964
4M1,6.579386493,0.997909291,1629,1688.5,1654.067708,1629,0.616638029,0.999999404
4M10,6.45205699,0.997698049,1522,1755.926829,1735.964428,1522,0.610311006,0.999984927
4M11,6.491560505,0.997850302,1467,1539,1530.452202,1467,0.617147501,0.999997428
4M12,6.418685061,0.997608497,1383,1393.5,1391.702153,1383,0.615194565,0.999992226
4M13,6.494227622,0.997837613,1537,1577.25,1626.279047,1537,0.613478942,0.999993655
4M14,6.502310176,0.99777398,1511,1786,1699.05188,1511,0.615673979,0.999988033
4M15,6.4730374,0.997732733,1504,1678.428571,1653.399694,1504,0.613291289,0.9999967
4M16,6.758951953,0.998228418,1710,1787,1817.559395,1710,0.629337991,0.999996052
4M17,6.631231448,0.998024131,1540,1582.272727,1556.973532,1540,0.626254619,0.999996826
4M18,6.475718268,0.997732864,1515,1565.622222,1551.359795,1515,0.612934756,0.999981902
4M19,6.420160312,0.997638495,1460,1474.142857,1488.709361,1460,0.610760215,0.999993198
4M2,6.478077797,0.997728167,1460,1473.153846,1467.513112,1460,0.616269999,0.999999314
4M20,6.592136762,0.997865001,1618,1817.5,1667.613348,1618,0.618399559,0.999998334
4M21,6.472525961,0.997833452,1519,1726.204082,1684.89999,1519,0.612412095,0.999993568
4M22,6.478122843,0.997789396,1416,1418.783133,1426.063687,1416,0.61887342,0.999995027
4M23,6.470613929,0.997724345,1574,1782,1609.33029,1574,0.609273069,0.999998239
4M3,6.83748057,0.998447256,1653,1700.7,1736.619956,1653,0.639562536,0.999997498
4M4,6.467078873,0.997792284,1594,1801.642857,1903.31508,1594,0.607897526,0.999998365
4M5,6.517955198,0.997818445,1588,1616.333333,1610.480687,1588,0.612993336,0.999997516
4M6,6.493498257,0.997703177,1618,2054.230769,1910.367543,1618,0.609146413,0.999993369
4M7,6.459552842,0.997727238,1520,1587.5,1601.569778,1520,0.611129715,0.999996629
4M8,6.444224907,0.997609279,1448,1463.583333,1470.990523,1448,0.613744714,0.999991896
4M9,6.416077366,0.997634866,1464,1479.04,1496.178741,1464,0.610142688,0.999991586
CH1,6.479747243,0.997762497,1516,1554.75,1529.650826,1516,0.613260846,0.999997737
CH2,6.433725717,0.997690645,1384,1409.090909,1393.972847,1384,0.616574503,0.999998402
CH3,6.43573636,0.997648479,1418,1511.84,1489.179786,1418,0.61470454,0.999996933
CH4,6.454135672,0.997711902,1381,1393.794118,1395.665053,1381,0.618716115,0.999996806
CH5,6.421517338,0.997667071,1480,1648.076923,1666.455529,1480,0.609750711,0.999998712
CH6,6.355061202,0.997517921,1385,1393.076923,1393.845664,1385,0.608974895,0.999999093
CH7,6.412334392,0.997646749,1521,1856.34375,1792.54573,1521,0.606607986,0.999994962
CH8,6.434543937,0.997684662,1614,1646.014925,1648.375416,1614,0.603818262,0.999998005
CH9,6.465035741,0.997755005,1594,1729.034483,1696.619899,1594,0.607705474,0.999997854
CL1,6.443270326,0.997696985,1563,1613.323529,1600.806597,1563,0.607276941,0.999996149
CL2,6.420411212,0.997634767,1532,1651.454545,1579.678777,1532,0.606775305,0.99999717
CL3,6.423628346,0.9976568,1518,1534.722222,1538.102592,1518,0.607840182,0.999998749
CL4,6.420032894,0.997647031,1542,1680.666667,1576.49082,1542,0.606201796,0.99999851
CL5,6.440009722,0.997694189,1570,1812,1825.424964,1570,0.606601054,0.999996673
CL6,6.452423829,0.997711972,1557,1614,1602.476848,1557,0.608457866,0.999998218
CM1,6.431950058,0.997698508,1426,1522.25,1469.596938,1426,0.613867002,0.999993589
CM2,6.387031701,0.997596238,1442,1521.565217,1489.432596,1442,0.60864491,0.99999644
CM3,6.414063842,0.997613535,1412,1443.888889,1440.452997,1412,0.612992679,0.999995237
CM4,6.369526031,0.997541013,1411,1440.4,1446.124495,1411,0.608795665,0.999996596
CM5,6.433728399,0.997662684,1390,1422.34375,1428.710644,1390,0.616206208,0.999993753
CM6,6.421890073,0.997690241,1507,2057.4,1689.199742,1507,0.608279626,0.999997994
CM7,6.445979225,0.997726594,1571,1622.264706,1635.165002,1571,0.607110805,0.999999568
CM8,6.447987497,0.997706899,1562,1627.807692,1601.954879,1562,0.607774424,0.999997532
CM9,6.422980075,0.997597997,1532,1635.541667,1594.693948,1532,0.607018081,0.999992486
DH1,6.426259434,0.99766737,1411,1418.037037,1421.125416,1411,0.614218212,0.999998666
DH2,6.400997945,0.997622193,1427,1431.25,1434.33666,1427,0.610853963,0.999999349
DH3,6.404579344,0.997620359,1421,1461.071429,1440.07834,1421,0.611550502,0.999997507
DH4,6.43442694,0.99769473,1428,1435.451613,1437.615167,1428,0.61398491,0.999999109
DH5,6.43519322,0.99770886,1581,1671.083333,1603.489175,1581,0.605572818,0.999997211
DH6,6.44335295,0.99766493,1582,1711,1724.226117,1582,0.606288629,0.999999137
DH7,6.414901193,0.997621319,1573,1610.8,1589.030335,1573,0.604079309,0.999998413
DH8,6.412530641,0.997605264,1644,1705.090909,1684.914879,1644,0.600255911,0.999996122
DL1,6.410075089,0.997615111,1430,1434.78125,1438.58126,1430,0.611543383,0.999999297
DL2,6.411950785,0.997624815,1397,1426.25,1408.455141,1397,0.61369443,0.999998704
DL3,6.392637319,0.997552926,1437,1440.387097,1443.300954,1437,0.609470129,0.999998691
DL4,6.448954932,0.997742491,1416,1422,1419.913077,1416,0.616086927,0.999998743
DL5,6.430589059,0.997665945,1499,1535.387097,1529.455982,1499,0.609546949,0.999995432
DL6,6.402422314,0.997582243,1508,1537.545455,1518.914055,1508,0.606380678,0.999999592
DL7,6.412681511,0.997599079,1409,1429.676471,1436.256684,1409,0.613040347,0.999996879
DL8,6.413790511,0.997605435,1424,1431.228571,1435.962601,1424,0.612252169,0.999998713
DM1,6.441968576,0.997665822,1579,1804.176471,1695.536213,1579,0.606314597,0.999992772
DM2,6.405665895,0.997607515,1564,1583.894737,1581.650789,1564,0.60368023,0.999998959
DM3,6.414388575,0.997648171,1643,1704.923077,1679.897927,1643,0.600479167,0.999994997
DM4,6.414391295,0.997607753,1413,1421.433333,1423.122294,1413,0.612964141,0.999998356
DM5,6.396816732,0.99756823,1422,1480.571429,1445.429691,1422,0.61075009,0.999997108
DM6,6.413857571,0.997614049,1424,1463.136364,1449.098536,1424,0.61225857,0.999995779
DM7,6.428807462,0.997643844,1435,1473.28125,1485.588585,1435,0.613036007,0.999996834
DM8,6.415945572,0.997632005,1501,1852.052632,1631.752933,1501,0.608048044,0.999997332
FF1,6.395620045,0.9976237,1466,1466.916031,1472.722296,1466,0.608083389,0.9999933
FF10,6.452702388,0.997679457,1390,1390.142857,1390.767034,1390,0.618023489,0.999999479
FF101,6.294091136,0.997259445,1357,1487.333333,1420.430853,1357,0.604840202,0.999988799
FF102,6.392106743,0.997556166,1370,1376.325,1381.468728,1370,0.613448289,0.999994267
FF103,6.384369165,0.997553647,1337,1355.193548,1359.786955,1337,0.614781137,0.999977603
FF104,6.379118554,0.997544096,1389,1400.272727,1402.462609,1389,0.61103658,0.999982759
FF105,6.363681317,0.997538188,1337,1361.022222,1364.546917,1337,0.612789006,0.999983892
FF106,6.364385151,0.99752265,1362,1391.117647,1384.303634,1362,0.611283526,0.999986089
FF107,6.383184616,0.997549242,1293,1375.125,1348.838934,1293,0.617537906,0.999924762
FF108,6.357117632,0.997514802,1358,1397.041096,1404.314027,1358,0.610834445,0.999943339
FF109,6.382661631,0.997573374,1315,1381.956522,1340.930228,1315,0.61603666,0.999981571
FF11,6.439869248,0.997680555,1349,1372.214286,1361.512141,1349,0.619356681,0.999995902
FF110,6.366685546,0.997583839,1299,1354.12,1328.001173,1299,0.615543965,0.999983044
FF111,6.418569158,0.997636173,1431,1707.785714,1623.748498,1431,0.612294834,0.99999637
FF112,6.372025991,0.997557538,1404,1510.25,1437.099482,1404,0.609452565,0.999995478
FF114,6.4010807,0.997627975,1405,1469.565217,1444.040623,1405,0.61217136,0.999991609
FF115,6.395123166,0.997592148,1368,1409.777778,1395.334549,1368,0.613861941,0.999987913
FF116,6.380464666,0.997600331,1403,1455.317073,1449.75515,1403,0.610319686,0.999980231
FF117,6.384526602,0.997563064,1455,1515.022222,1526.964724,1455,0.607656424,0.999985759
FF118,6.46415494,0.997709988,1362,1389.444444,1384.136824,1362,0.620866169,0.999989316
FF119,6.424998467,0.99764481,1330,1347.446809,1356.517444,1330,0.619145044,0.999988691
FF12,6.437876148,0.997645053,1447,1518.142857,1521.702854,1447,0.613198268,0.999982935
FF120,6.436359014,0.997629299,1392,1403.117647,1405.928411,1392,0.616335712,0.999991924
FF121,6.372199079,0.997512896,1370,1483.433333,1441.620962,1370,0.611537757,0.999977403
FF122,6.429766938,0.997615746,1372,1419.3,1400.419731,1372,0.616937918,0.999985204
FF123,6.449006151,0.997664583,1355,1445.434783,1401.273564,1355,0.619853743,0.999975153
FF124,6.467835446,0.997746466,1386,1463.772727,1431.974996,1386,0.619719671,0.999989622
FF125,6.460143899,0.99769893,1430,1435.815385,1446.560926,1430,0.616320122,0.999996523
FF126,6.397130963,0.997591089,1380,1394.285714,1390.06719,1380,0.613312887,0.99999454
FF127,6.476799713,0.997791078,1397,1427.8,1433.981046,1397,0.619901188,0.999986345
FF128,6.389313307,0.997641067,1429,1453.25641,1454.795669,1429,0.609621334,0.999992682
FF129,6.386555856,0.997587162,1405,1495.62069,1468.286956,1405,0.610782267,0.999988216
FF13,6.417969053,0.99761596,1391,1446,1430.051038,1391,0.61463574,0.999990463
FF130,6.370800549,0.997563969,1384,1399.545455,1389.992935,1384,0.610544085,0.999997108
FF131,6.402335757,0.997631686,1432,1492.638298,1496.193426,1432,0.610687549,0.999988658
FF132,6.40859826,0.997593005,1435,1448.222222,1458.366465,1435,0.611108904,0.999994566
FF133,6.376590928,0.997577045,1389,1457.44,1429.134171,1389,0.610794466,0.999991914
FF134,6.411893577,0.997631377,1381,1386.084746,1397.187201,1381,0.614666639,0.999995744
FF135,6.363287248,0.99752066,1419,1470.65625,1456.305895,1419,0.607725581,0.999984961
FF136,6.405860471,0.997614967,1398,1430.765957,1434.826954,1398,0.613050947,0.999985404
FF137,6.41116556,0.997623174,1377,1424.042553,1442.710426,1377,0.614843503,0.999974462
FF14,6.429670247,0.997634255,1377,1424.833333,1409.711849,1377,0.61661814,0.999994224
FF15,6.428478913,0.997651107,1404,1424.8125,1425.441871,1404,0.614852006,0.999994799
FF16,6.381652536,0.99761044,1407,1456.52381,1457.65505,1407,0.610193577,0.999990804
FF17,6.41666291,0.997658194,1469,1630.025,1582.809691,1469,0.609913077,0.999993679
FF18,6.406536511,0.997584378,1367,1423.894737,1394.134198,1367,0.615019779,0.999987026
FF19,6.427741647,0.997651375,1425,1465.923077,1463.238332,1425,0.613524612,0.999987792
FF2,6.452934272,0.997667992,1487,1643.2,1682.865684,1487,0.61233807,0.999965806
FF20,6.453617224,0.997693322,1382,1442.022222,1442.451863,1382,0.618604486,0.999972342
FF21,6.442685808,0.997688268,1403,1426,1412.173309,1403,0.616271414,0.999997557
FF22,6.393016069,0.997588749,1350,1465,1417.796832,1350,0.614787349,0.999985214
FF23,6.402249551,0.997605742,1378,1445.105263,1408.549278,1378,0.613926777,0.999987969
FF24,6.426134294,0.997602522,1338,1373.285714,1370.914671,1338,0.618738632,0.999988332
FF25,6.426566895,0.997606281,1383,1390.065217,1394.764948,1383,0.615949994,0.9999952
FF26,6.435014581,0.997668779,1347,1380.681818,1374.587103,1347,0.619017214,0.999995353
FF27,6.352626099,0.997464053,1466,1838.235294,1567.006586,1466,0.603995606,0.999995511
FF28,6.429157217,0.997636736,1387,1431.2,1426.640095,1387,0.615952283,0.999991132
FF29,6.426639628,0.997644678,1432,1527.055556,1472.194971,1432,0.613005776,0.999995385
FF3,6.447968149,0.997710331,1373,1441.142857,1418.81415,1373,0.618621936,0.999985941
FF30,6.384220997,0.997589746,1443,1874.4375,1612.933976,1443,0.60831909,0.999995991
FF31,6.377076964,0.997552386,1552,1835.609756,1727.741013,1552,0.601615981,0.999988452
FF32,6.397634284,0.997584046,1365,1370.275862,1371.101732,1365,0.61428974,0.999995587
